od,metric,mean,std,n
short_NS,path_length,150.0,0.0,5
short_NS,objective_cost,3.4641016151377557,4.440892098500626e-16,5
short_NS,final_survival,0.3907056276616598,0.0,5
short_NS,runtime_ms,1.8794059753417969,0.015681636551676398,5
short_EW,path_length,150.0,0.0,5
short_EW,objective_cost,3.4641016151377557,4.440892098500626e-16,5
short_EW,final_survival,0.3955804899986337,0.0,5
short_EW,runtime_ms,1.902151107788086,0.02946776478568948,5
med_diag,path_length,565.685424949238,0.0,5
med_diag,objective_cost,13.066949736165956,1.7763568394002505e-15,5
med_diag,final_survival,0.048429426575912496,0.0,5
med_diag,runtime_ms,5.041313171386719,0.01999500508824273,5
med_cross,path_length,500.0,0.0,5
med_cross,objective_cost,11.547005383792518,0.0,5
med_cross,final_survival,0.018441363889605294,0.0,5
med_cross,runtime_ms,6.104898452758789,0.03455618849988789,5
long_diag,path_length,777.8174593052023,0.0,5
long_diag,objective_cost,17.966636227496245,0.0,5
long_diag,final_survival,0.027647352683075478,0.0,5
long_diag,runtime_ms,6.960630416870117,0.033712758031204444,5
long_NS,path_length,550.0,0.0,5
long_NS,objective_cost,12.701705922171772,0.0,5
long_NS,final_survival,0.014491998807919126,0.0,5
long_NS,runtime_ms,6.699895858764648,0.022212935828753933,5
cross_wind,path_length,261.4213562373095,0.0,5
cross_wind,objective_cost,6.037707126622894,0.0,5
cross_wind,final_survival,0.012167805323660266,0.0,5
cross_wind,runtime_ms,235.28618812561035,6.864904098383772,5
cross_rain,path_length,261.4213562373095,0.0,5
cross_rain,objective_cost,6.037342682817568,0.0,5
cross_rain,final_survival,0.01221645627004969,0.0,5
cross_rain,runtime_ms,259.6095085144043,4.970193087141134,5
night_depart,path_length,777.8174593052023,0.0,5
night_depart,objective_cost,17.966440947386676,0.0,5
night_depart,final_survival,0.12215081727032673,0.0,5
night_depart,runtime_ms,6.947422027587891,0.061720413668646876,5
noon_depart,path_length,777.8174593052023,0.0,5
noon_depart,objective_cost,17.966636227496245,0.0,5
noon_depart,final_survival,0.027647352683075478,0.0,5
noon_depart,runtime_ms,6.909036636352539,0.03558898655637031,5
