param,value,status,path_length,objective_cost,final_survival,cum_fatality,cum_noise,runtime_ms,nodes_explored
P_th,0.0,success,777.8174593052023,17.966636227496245,0.027647352683075478,,,6.769418716430664,279
P_th,0.001,success,777.8174593052023,17.966636227496245,0.027647352683075478,,,6.754159927368164,279
P_th,0.01,success,777.8174593052023,17.966636227496245,0.027647352683075478,,,6.717920303344727,279
P_th,0.05,success,865.685424949238,19.995897445796256,0.05079206839247143,,,3819.01478767395,31698
P_th,0.1,failed,0,0,0,,,7361.968278884888,55554
P_th,0.2,failed,0,0,0,,,3608.328342437744,27339
P_th,0.5,failed,0,0,0,,,601.8550395965576,4959
w_fatality,0.0,success,777.8174593052023,31.435192878148914,0.027647352683075478,0.001815829931578341,,7.770299911499023,
w_fatality,0.1,success,777.8174593052023,26.945673994598017,0.027647352683075478,0.001815829931578341,,7.124662399291992,
w_fatality,0.2,success,777.8174593052023,22.456155111047135,0.027647352683075478,0.001815829931578341,,6.916046142578125,
w_fatality,0.3,success,777.8174593052023,17.96663622749624,0.027647352683075478,0.001815829931578341,,6.891727447509766,
w_fatality,0.5,success,777.8174593052023,8.98759846039445,0.027647352683075478,0.001815829931578341,,6.998538970947266,
w_fatality,0.7,success,1186.690475583122,0.002291540193359325,0.011024653518966908,0.0004848215800866883,,3743.8766956329346,
w_fatality,0.9,success,1231.5432893255074,0.0027687433676941552,0.010311903157821095,0.0004567462373527462,,50879.19020652771,
w_noise,0.0,success,777.8174593052023,,,,0.0038561442479395744,7.0209503173828125,
w_noise,0.05,success,777.8174593052023,,,,0.0038561442479395744,6.888389587402344,
w_noise,0.1,success,777.8174593052023,,,,0.0038561442479395744,6.920099258422852,
w_noise,0.15,success,777.8174593052023,,,,0.0038561442479395744,6.947040557861328,
w_noise,0.3,success,777.8174593052023,,,,0.0038561442479395744,6.883382797241211,
w_noise,0.5,success,777.8174593052023,,,,0.0038561442479395744,6.943702697753906,
w_noise,0.7,failed,0,,,,0,43746.40703201294,
uav_speed,5.0,success,777.8174593052023,,0.027647352683075478,,,19.954681396484375,
uav_speed,10.0,success,777.8174593052023,,0.027647352683075478,,,6.92439079284668,
uav_speed,15.0,success,777.8174593052023,,0.027647352683075478,,,6.914854049682617,
uav_speed,20.0,success,777.8174593052023,,0.027647352683075478,,,6.8798065185546875,
uav_speed,30.0,success,777.8174593052023,,0.027647352683075478,,,6.930351257324219,
