grid,cells,status,path_length,nodes_explored,runtime_ms
20×20×6×12,28800,success,212.13203435596427,79,1.9211769104003906
30×30×8×12,86400,success,353.5533905932738,129,3.186941146850586
40×40×10×12,192000,success,494.9747468305833,179,4.424571990966797
60×60×12×24,1036800,success,777.8174593052023,279,6.996631622314453
