t_start,label,status,path_length,final_survival,cum_fatality,cum_property,cum_noise,objective_cost,runtime_ms,nodes_explored
8,08:00 (Morning Rush),success,494.9747,0.157983,0.00157008,0.00000000,0.002780,11.439438,4.8,179
12,12:00 (Noon),success,494.9747,0.046320,0.00159230,0.00000000,0.001673,11.439194,4.8,179
18,18:00 (Evening Rush),success,518.4062,0.010146,0.00212967,0.00000000,0.001721,11.982938,195.8,2293
22,22:00 (Night),success,494.9747,0.223527,0.00162202,0.00000000,0.005337,11.440502,4.8,179
