od,category,algorithm,status,path_length,objective_cost,final_survival,cum_fatality,cum_noise,runtime_ms,nodes_explored
short_NS,short,TD-RiskA*,success,150.0,3.4641016151377553,0.3907056276616598,0.0,0.0,3.991842269897461,51
short_NS,short,Static A*,success,150.0,3.4641016151377553,0.4430574575043614,0.0,0.0,2.9897689819335938,51
short_NS,short,Distance-only,success,150.0,8.660254037844389,0.3907056276616598,0.0,0.0,2.995729446411133,51
short_EW,short,TD-RiskA*,success,150.0,3.4641016151377553,0.3955804899986337,0.0,0.0,3.9834976196289062,51
short_EW,short,Static A*,success,150.0,3.4641016151377553,0.4428339893251484,0.0,0.0,2.988576889038086,51
short_EW,short,Distance-only,success,150.0,8.660254037844389,0.3955804899986337,0.0,0.0,3.0019283294677734,51
med_diag,medium,TD-RiskA*,success,565.685424949238,13.066949736165954,0.048429426575912496,0.0014765249286419345,0.002437624562199862,7.141828536987305,204
med_diag,medium,Static A*,success,565.685424949238,13.07002311596981,0.08643350752152869,0.0013905645825948126,0.003262549459867195,8.36491584777832,204
med_diag,medium,Distance-only,success,565.685424949238,32.65986323710904,0.048429426575912496,0.0014765249286419345,0.002437624562199862,7.972955703735352,204
med_cross,medium,TD-RiskA*,success,500.0,11.547005383792518,0.018441363889605294,0.0,0.0,8.248090744018555,156
med_cross,medium,Static A*,success,500.0,11.547005383792518,0.03993019075155551,0.0,0.0,9.345769882202148,156
med_cross,medium,Distance-only,success,500.0,28.867513459481305,0.018441363889605294,0.0,0.0,9.006261825561523,156
long_diag,long,TD-RiskA*,success,777.8174593052023,17.966636227496245,0.027647352683075478,0.001815829931578341,0.0038561442479395744,7.208108901977539,279
long_diag,long,Static A*,success,777.8174593052023,17.970714051447075,0.049136680755911676,0.0017738365411182778,0.004998419983166384,11.110782623291016,279
long_diag,long,Distance-only,success,777.8174593052023,44.90731195102494,0.027647352683075478,0.001815829931578341,0.0038561442479395744,11.32345199584961,279
long_NS,long,TD-RiskA*,success,550.0,12.701705922171772,0.014491998807919126,0.0,0.0,12.354612350463867,171
long_NS,long,Static A*,success,550.0,12.701705922171772,0.032781827335741066,0.0,0.0,10.971784591674805,171
long_NS,long,Distance-only,success,550.0,31.754264805429436,0.014491998807919126,0.0,0.0,7.785797119140625,171
cross_wind,cross_risk,TD-RiskA*,success,261.4213562373095,6.037707126622894,0.012167805323660266,0.0002186206562999506,8.458397505811796e-05,353.73663902282715,2412
cross_wind,cross_risk,Static A*,success,200.0,4.618802153517006,0.13701414820827137,0.0,0.0,3.9343833923339844,66
cross_wind,cross_risk,Distance-only,success,200.0,11.54700538379252,0.0029489168773421,0.0,0.0,4.028797149658203,66
cross_rain,cross_risk,TD-RiskA*,success,261.4213562373095,6.037342682817568,0.01221645627004969,3.7268178445213e-05,2.1858852940266996e-05,393.1427001953125,2581
cross_rain,cross_risk,Static A*,success,200.0,4.618802153517006,0.13701414820827137,0.0,0.0,5.02324104309082,66
cross_rain,cross_risk,Distance-only,success,200.0,11.54700538379252,0.005755101747639626,0.0,0.0,4.998683929443359,66
night_depart,temporal,TD-RiskA*,success,777.8174593052023,17.966440947386676,0.12215081727032673,0.001686915127920651,0.0071125666242015835,15.267133712768555,279
night_depart,temporal,Static A*,success,777.8174593052023,17.970714051447075,0.049136680755911676,0.0017738365411182778,0.004998419983166384,7.051944732666016,279
night_depart,temporal,Distance-only,success,777.8174593052023,44.90731195102494,0.12215081727032673,0.001686915127920651,0.0071125666242015835,11.036396026611328,279
noon_depart,temporal,TD-RiskA*,success,777.8174593052023,17.966636227496245,0.027647352683075478,0.001815829931578341,0.0038561442479395744,10.982036590576172,279
noon_depart,temporal,Static A*,success,777.8174593052023,17.970714051447075,0.049136680755911676,0.0017738365411182778,0.004998419983166384,11.619091033935547,279
noon_depart,temporal,Distance-only,success,777.8174593052023,44.90731195102494,0.027647352683075478,0.001815829931578341,0.0038561442479395744,11.01827621459961,279
