param,value,status,path_length,objective_cost,final_survival,cum_fatality,cum_noise,runtime_ms,nodes_explored
P_th,0.0,success,777.8174593052023,17.966636227496245,0.027647352683075478,,,6.469249725341797,279
P_th,0.001,success,777.8174593052023,17.966636227496245,0.027647352683075478,,,6.489753723144531,279
P_th,0.01,success,777.8174593052023,17.966636227496245,0.027647352683075478,,,6.547689437866211,279
P_th,0.05,success,865.685424949238,19.995897445796256,0.05079206839247143,,,3556.0429096221924,31698
P_th,0.1,failed,0,0,0,,,6892.263174057007,55554
P_th,0.2,failed,0,0,0,,,3224.8876094818115,27339
P_th,0.5,failed,0,0,0,,,533.7543487548828,4959
w_fatality,0.0,success,777.8174593052023,31.435192878148914,0.027647352683075478,0.001815829931578341,,6.619453430175781,
w_fatality,0.1,success,777.8174593052023,26.945673994598017,0.027647352683075478,0.001815829931578341,,6.601095199584961,
w_fatality,0.2,success,777.8174593052023,22.456155111047135,0.027647352683075478,0.001815829931578341,,6.589174270629883,
w_fatality,0.3,success,777.8174593052023,17.96663622749624,0.027647352683075478,0.001815829931578341,,6.540060043334961,
w_fatality,0.5,success,777.8174593052023,8.98759846039445,0.027647352683075478,0.001815829931578341,,6.592035293579102,
w_fatality,0.7,success,1186.690475583122,0.002291540193359325,0.011024653518966908,0.0004848215800866883,,4175.207853317261,
w_fatality,0.9,success,1231.5432893255074,0.0027687433676941552,0.010311903157821095,0.0004567462373527462,,52370.07021903992,
w_noise,0.0,success,777.8174593052023,,,,0.0038561442479395744,6.742715835571289,
w_noise,0.05,success,777.8174593052023,,,,0.0038561442479395744,6.641626358032227,
w_noise,0.1,success,777.8174593052023,,,,0.0038561442479395744,6.594181060791016,
w_noise,0.15,success,777.8174593052023,,,,0.0038561442479395744,6.617307662963867,
w_noise,0.3,success,777.8174593052023,,,,0.0038561442479395744,6.6204071044921875,
w_noise,0.5,success,777.8174593052023,,,,0.0038561442479395744,6.566762924194336,
w_noise,0.7,failed,0,,,,0,43810.77766418457,
uav_speed,5.0,success,777.8174593052023,,0.027647352683075478,,,18.798828125,
uav_speed,10.0,success,777.8174593052023,,0.027647352683075478,,,6.612062454223633,
uav_speed,15.0,success,777.8174593052023,,0.027647352683075478,,,6.821393966674805,
uav_speed,20.0,success,777.8174593052023,,0.027647352683075478,,,7.38978385925293,
uav_speed,30.0,success,777.8174593052023,,0.027647352683075478,,,6.682634353637695,
