od,metric,mean,std,n
short_NS,path_length,150.0,0.0,5
short_NS,objective_cost,3.4641016151377557,4.440892098500626e-16,5
short_NS,final_survival,0.3907056276616598,0.0,5
short_NS,runtime_ms,1.8264293670654297,0.049792531563011826,5
short_EW,path_length,150.0,0.0,5
short_EW,objective_cost,3.4641016151377557,4.440892098500626e-16,5
short_EW,final_survival,0.3955804899986337,0.0,5
short_EW,runtime_ms,1.8772125244140625,0.04081308263268723,5
med_diag,path_length,565.685424949238,0.0,5
med_diag,objective_cost,13.066949736165956,1.7763568394002505e-15,5
med_diag,final_survival,0.048429426575912496,0.0,5
med_diag,runtime_ms,4.85076904296875,0.08619200631311398,5
med_cross,path_length,500.0,0.0,5
med_cross,objective_cost,11.547005383792518,0.0,5
med_cross,final_survival,0.018441363889605294,0.0,5
med_cross,runtime_ms,5.813694000244141,0.051949564685291987,5
long_diag,path_length,777.8174593052023,0.0,5
long_diag,objective_cost,17.966636227496245,0.0,5
long_diag,final_survival,0.027647352683075478,0.0,5
long_diag,runtime_ms,6.624031066894531,0.045205168572028595,5
long_NS,path_length,550.0,0.0,5
long_NS,objective_cost,12.701705922171772,0.0,5
long_NS,final_survival,0.014491998807919126,0.0,5
long_NS,runtime_ms,6.360864639282227,0.06178006450719563,5
cross_wind,path_length,261.4213562373095,0.0,5
cross_wind,objective_cost,6.037707126622894,0.0,5
cross_wind,final_survival,0.012167805323660266,0.0,5
cross_wind,runtime_ms,227.19521522521973,13.333349451268946,5
cross_rain,path_length,261.4213562373095,0.0,5
cross_rain,objective_cost,6.037342682817568,0.0,5
cross_rain,final_survival,0.01221645627004969,0.0,5
cross_rain,runtime_ms,295.38726806640625,41.3614112831122,5
night_depart,path_length,777.8174593052023,0.0,5
night_depart,objective_cost,17.966440947386676,0.0,5
night_depart,final_survival,0.12215081727032673,0.0,5
night_depart,runtime_ms,9.305238723754883,3.005312202779262,5
noon_depart,path_length,777.8174593052023,0.0,5
noon_depart,objective_cost,17.966636227496245,0.0,5
noon_depart,final_survival,0.027647352683075478,0.0,5
noon_depart,runtime_ms,9.59329605102539,3.605738451426749,5
