od_idx,start_x,start_y,goal_x,goal_y,dist_euclidean,path_changed,low_noise,high_noise,low_length,high_length,low_survival,high_survival,low_fatality,high_fatality
77,6,28,30,21,25.0,False,0.003494,0.003494,268.9949,268.9949,0.401253,0.401253,0.00094709,0.00094709
78,38,23,27,39,19.4,True,0.001096,0.001096,205.5635,205.5635,0.528441,0.528922,0.00027400,0.00027406
79,39,41,39,20,21.0,False,0.000000,0.000000,210.0000,210.0000,0.444624,0.444624,0.00000000,0.00000000
80,16,12,21,40,28.4,True,0.000928,0.000928,300.7107,300.7107,0.345164,0.344270,0.00021941,0.00021941
81,47,26,8,50,45.8,False,0.002663,0.002663,489.4113,489.4113,0.223459,0.223459,0.00064157,0.00064157
82,46,25,35,6,22.0,False,0.001490,0.001490,235.5635,235.5635,0.488508,0.488508,0.00098476,0.00098476
83,25,41,42,54,21.4,False,0.001654,0.001654,223.8478,223.8478,0.525120,0.525120,0.00101425,0.00101425
84,30,28,31,52,24.0,True,0.000000,0.000000,244.1421,244.1421,0.394052,0.393951,0.00000000,0.00000000
85,11,13,45,15,34.1,False,0.005075,0.005075,348.2843,348.2843,0.278986,0.278986,0.00164113,0.00164113
86,7,30,50,39,43.9,False,0.000404,0.000404,467.2792,467.2792,0.190242,0.190242,0.00010300,0.00010300
87,8,10,40,33,39.4,True,0.002901,0.002802,415.2691,415.2691,0.292491,0.292530,0.00077299,0.00077422
88,42,45,9,43,33.1,True,0.004435,0.004349,338.2843,338.2843,0.288672,0.288079,0.00145517,0.00145641
89,34,12,15,34,29.1,True,0.001462,0.001462,298.7006,298.7006,0.431232,0.431046,0.00037514,0.00037507
90,33,26,19,8,22.8,True,0.002081,0.002081,237.9899,237.9899,0.502067,0.502249,0.00050078,0.00050092
91,21,18,54,24,33.5,True,0.000315,0.000314,354.8528,354.8528,0.285910,0.284983,0.00033417,0.00033308
92,32,30,51,42,22.5,False,0.001496,0.001496,239.7056,239.7056,0.483006,0.483006,0.00035363,0.00035363
93,32,29,49,46,24.0,False,0.002820,0.002820,246.2742,246.2742,0.502038,0.502038,0.00070726,0.00070726
94,39,32,10,22,30.7,True,0.000751,0.000749,331.4214,331.4214,0.322332,0.321727,0.00017763,0.00017729
95,40,45,38,14,31.1,True,0.000150,0.000150,318.2843,318.2843,0.306194,0.305081,0.00003507,0.00003494
96,14,52,18,15,37.2,True,0.005526,0.005369,386.5685,386.5685,0.248308,0.247600,0.00179190,0.00179306
97,32,22,38,42,20.9,True,0.002714,0.002518,224.8528,224.8528,0.456440,0.455624,0.00087554,0.00087833
98,12,49,44,16,46.0,False,0.003540,0.003541,485.9798,485.9798,0.239662,0.239839,0.00091827,0.00091850
99,27,52,49,8,49.2,False,0.001242,0.001241,531.1270,531.1270,0.182846,0.182456,0.00042243,0.00042176
