condition,algorithm,status,path_length,final_survival,cum_fatality,cum_property,cum_noise,objective_cost,runtime_ms,nodes_explored
calm,distance_only,success,494.9747,0.269576,0.00096188,0.00000000,0.002724,28.577380,7.2,179
calm,td_risk,success,494.9747,0.269576,0.00096188,0.00000000,0.002724,11.440362,6.9,179
wind,distance_only,success,559.4113,0.012908,0.00226435,11.03677268,0.010058,32.297624,866.1,5233
wind,td_risk,success,576.9848,0.013786,0.00088526,0.00000000,0.001780,13.333479,2241.9,12832
rain,distance_only,success,494.9747,0.105603,0.00103252,0.00000000,0.002197,28.577380,7.1,179
rain,td_risk,success,494.9747,0.105603,0.00103252,0.00000000,0.002197,11.440978,7.0,179
