label,w_noise,w_distance,status,path_length,final_survival,cum_fatality,cum_noise,objective_cost,runtime_ms,nodes_explored
w_n=0.01,0.01,0.7,success,530.0000,0.146906,0.08204570,5.678903,21.599786,6.5,168
w_n=0.05,0.05,0.65,success,530.0000,0.146906,0.08204570,5.678903,20.111119,8.9,195
w_n=0.10,0.1,0.6,success,530.0000,0.146906,0.08204570,5.678903,18.632779,11.4,218
w_n=0.20,0.2,0.5,success,530.0000,0.146906,0.08204570,5.678903,15.676100,18.1,288
w_n=0.30,0.3,0.4,success,530.0000,0.146906,0.08204570,5.678903,12.719420,27.7,386
w_n=0.50,0.5,0.25,success,530.0000,0.146906,0.08204570,5.678903,8.302087,55.0,666
w_n=0.70,0.7,0.1,success,530.0000,0.146906,0.08204570,5.678903,3.884754,177.1,1685
w_n=0.85,0.85,0.02,success,671.4214,0.102300,0.02995378,2.179962,1.137705,793.0,8374
