condition,algorithm,status,path_length,final_survival,cum_fatality,cum_property,cum_noise,objective_cost,runtime_ms,nodes_explored
calm,distance_only,success,494.9747,0.046320,0.00159230,0.00000000,0.001673,28.577380,5.3,179
calm,td_risk,success,494.9747,0.046320,0.00159230,0.00000000,0.001673,11.439194,4.8,179
wind,distance_only,success,594.5584,0.010175,0.00280160,11.08890171,0.003431,34.326848,828.4,6981
wind,td_risk,success,594.5584,0.010005,0.00280204,11.08890171,0.003411,13.748397,783.6,7220
rain,distance_only,success,541.8377,0.011909,0.00288576,0.00000000,0.003911,31.283012,570.8,5458
rain,td_risk,success,553.5534,0.011068,0.00246938,0.65013077,0.002146,12.796583,798.2,7736
