label,step,cum_distance,p_survival,survival_margin,altitude_m,building_height_m,clearance_m,climb_rate,descent_rate,alt_margin,battery_margin
12,21,296.9848,0.123124,0.113124,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,22,311.1270,0.109513,0.099513,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,23,325.2691,0.099936,0.089936,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,24,339.4113,0.092987,0.082987,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,25,353.5534,0.087586,0.077586,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,26,367.6955,0.083059,0.073059,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,27,381.8377,0.079208,0.069208,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,28,395.9798,0.075807,0.065807,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,29,410.1219,0.072756,0.062756,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,30,424.2641,0.069956,0.059956,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,31,438.4062,0.067242,0.057242,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,32,452.5483,0.064675,0.054675,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,33,466.6905,0.062260,0.052260,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,34,480.8326,0.059958,0.049958,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,35,494.9747,0.057751,0.047751,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,0,0.0000,1.000000,0.990000,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,1,10.0000,0.963121,0.953121,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,2,20.0000,0.927703,0.917703,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,3,34.1421,0.893220,0.883220,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,4,48.2843,0.859677,0.849677,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,5,58.2843,0.826824,0.816824,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,6,72.4264,0.795415,0.785415,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,7,86.5685,0.763276,0.753276,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,8,100.7107,0.731360,0.721360,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,9,114.8528,0.698207,0.688207,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,10,128.9949,0.662978,0.652978,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,11,143.1371,0.623391,0.613391,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,12,157.2792,0.580715,0.570715,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,13,171.4214,0.528680,0.518680,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,14,185.5635,0.463132,0.453132,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,15,199.7056,0.387447,0.377447,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,16,213.8478,0.312801,0.302801,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,17,227.9899,0.229848,0.219848,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,18,242.1320,0.160585,0.150585,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,19,256.2742,0.111089,0.101089,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,20,270.4163,0.074392,0.064392,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,21,284.5584,0.052302,0.042302,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,22,298.7006,0.038814,0.028814,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,23,312.8427,0.031025,0.021025,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,24,326.9848,0.026206,0.016206,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,25,341.1270,0.023035,0.013035,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,26,355.2691,0.021025,0.011025,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,27,369.4113,0.019492,0.009492,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,28,383.5534,0.018353,0.008353,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,29,397.6955,0.017406,0.007406,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,30,411.8377,0.016624,0.006624,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,31,425.9798,0.015911,0.005911,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,32,440.1219,0.015268,0.005268,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,33,454.2641,0.014680,0.004680,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,34,464.2641,0.014108,0.004108,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,35,478.4062,0.013583,0.003583,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,36,492.5483,0.013079,0.003079,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
18,37,502.5483,0.012593,0.002593,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
