label,w_noise,w_distance,status,path_length,final_survival,cum_fatality,cum_noise,objective_cost,runtime_ms,nodes_explored
w_n=0.05,0.05,0.65,success,494.9747,0.269414,0.00096199,0.004087,18.583045,7.0,179
w_n=0.10,0.1,0.6,success,494.9747,0.269414,0.00096199,0.004087,17.154318,7.1,179
w_n=0.15,0.15,0.55,success,494.9747,0.269414,0.00096199,0.004087,15.725591,7.6,179
w_n=0.20,0.2,0.5,success,494.9747,0.269414,0.00096199,0.004087,14.296864,7.0,179
w_n=0.30,0.3,0.4,success,494.9747,0.269414,0.00096199,0.004087,11.439410,7.2,179
w_n=0.40,0.4,0.3,success,494.9747,0.269414,0.00096199,0.004087,8.581956,7.0,179
w_n=0.50,0.5,0.2,success,494.9747,0.269414,0.00096199,0.004087,5.724502,7.3,179
